x,y,z
100.491589,41.138901,71.63704
132.416667,58.901786,82.059524
104.543112,44.481665,103.916749
102.236656,44.064791,74.401125
107.926111,40.632159,76.961153
120.481621,41.344329,69.955702
123.013193,51.8927,56.759015
119.338359,105.485002,126.65561
129.664059,103.257279,123.682747
132.579336,118.837638,121.922509
136.772664,125.582985,112.956764
138.865752,124.683174,122.399165
104.528505,33.597072,99.335131
96.918149,86.60261,88.986951
98.677433,53.233641,109.394715
114.850993,39.443709,100.271523
114.19184,51.537326,110.430556
133.940136,69.78536,52.618797
117.755656,42.828054,88.434389
132.592541,39.361878,78.374309
137.691983,45.555907,68.914557
137.394161,48.92805,61.153285
133.489855,55.521739,82.907246
135.998896,101.994481,82.398455
150.183112,78.426117,97.249877
98.31097,142.730684,135.373291
96.358639,76.151178,120.194372
152.198435,74.187814,89.932923
95.248227,58.274232,121.498818
95.552556,64.056289,105.57668
101.731298,67.452417,84.880916
93.867052,106.364162,109.955684
94.704348,70.024638,91.217391
93.768848,84.202983,102.524441
100.042751,81.552045,104.622677
96.894004,83.917559,134.828694
104.643979,88.134031,121.951832
102.515493,96.142723,113.688263
105.121097,76.89642,144.418888
96.658505,110.468299,121.557499
100.068306,126.534153,115.301913
112.239867,73.178073,137.489037
96.643496,131.532274,128.125124
110.592627,130.136617,139.421933
97.517305,65.146285,132.871251
105.278114,51.702539,127.938331
128.238394,78.294856,131.844417
121.655546,69.556357,124.250676
114.787443,60.903859,134.815566
115.970641,58.793594,119.152135
138.150337,99.962157,127.34085
129.508165,92.68818,123.900078
125.373109,105.0,114.733613
124.128205,111.937022,138.11426
100.026417,110.678674,141.063401
149.799006,129.681108,103.925426
94.447546,124.308951,110.85948
94.083624,134.923345,100.006969
95.249415,144.104215,101.338407
99.010823,140.837662,110.227273
96.046431,166.310464,66.976438
98.638734,168.099317,96.929236
95.909177,158.968616,116.162149
101.628302,174.318868,67.658491
96.816092,176.014368,59.294061
127.422402,156.510121,55.184885
128.190759,142.505809,124.802756
113.687799,154.661483,115.801037
